night_photo,night_lat,night_lon,night_taken,day_image,day_id,day_lat,day_lon,day_heading,distance_m,skipped
1.JPG,40.729908333333334,-73.99066944444445,2026:04:28 20:07:12,,,,,,,True
10.JPG,40.72998055555556,-73.99161388888889,2026:04:28 20:09:59,,,,,,,True
100.JPG,40.72974722222222,-73.99359166666667,2026:04:28 20:15:34,,,,,,,True
101.JPG,40.72976111111111,-73.99359722222222,2026:04:28 20:15:35,0/20161213/a32b6ec5cde27e3a/cds-a32b6ec5cde27e3a-20161213-1238.raw/3/dr5rsnxe9r8c-dr5rsnxec99x-cds-a32b6ec5cde27e3a-20161213-1238-136.jpg,54595668.0,40.7297062,-73.99355179999998,-94.43,7.21,False
102.JPG,40.72976666666667,-73.99360555555556,2026:04:28 20:15:36,0/20161114/a32b6ec5cde27e3a/cds-a32b6ec5cde27e3a-20161114-1047.raw/3/dr5rsnxs31rn-dr5rsnxebpkf-cds-a32b6ec5cde27e3a-20161114-1047-36.jpg,48560241.0,40.7298023,-73.993554,-83.6,5.88,False
103.JPG,40.72977777777778,-73.99362222222223,2026:04:28 20:15:38,0/20161114/a32b6ec5cde27e3a/cds-a32b6ec5cde27e3a-20161114-1047.raw/3/dr5rsnxs31rn-dr5rsnxebpkf-cds-a32b6ec5cde27e3a-20161114-1047-36.jpg,48560241.0,40.7298023,-73.993554,-83.6,6.36,False
104.JPG,40.72977777777778,-73.99361388888889,2026:04:28 20:15:39,,,,,,,True
105.JPG,40.72978055555556,-73.99362222222223,2026:04:28 20:15:40,,,,,,,True
106.JPG,40.729797222222224,-73.99361388888889,2026:04:28 20:15:41,,,,,,,True
107.JPG,40.72981388888889,-73.99361388888889,2026:04:28 20:15:42,,,,,,,True
108.JPG,40.72981666666667,-73.99362222222223,2026:04:28 20:15:43,,,,,,,True
109.JPG,40.72982777777778,-73.99363055555555,2026:04:28 20:15:44,0/20161114/a32b6ec5cde27e3a/cds-a32b6ec5cde27e3a-20161114-1047.raw/3/dr5rsnxkqzxx-dr5rsnxknpk5-cds-a32b6ec5cde27e3a-20161114-1047-35.jpg,48560240.0,40.729836,-73.99364990000002,-77.57,1.87,False
11.JPG,40.72999444444444,-73.99160833333333,2026:04:28 20:10:00,,,,,,,True
110.JPG,40.72983611111111,-73.99364444444444,2026:04:28 20:15:45,0/20170312/1ccda49b184cb0ef/cds-1ccda49b184cb0ef-20170312-1056.raw/3/dr5rsnxs2r4s-dr5rsnxkp57m-cds-1ccda49b184cb0ef-20170312-1056-16.jpg,70204106.0,40.7298328,-73.99359240000003,236.79,4.4,False
111.JPG,40.729847222222226,-73.99366944444445,2026:04:28 20:15:46,,,,,,,True
