image,taken_on,period,tree,streetlight,storefront,run
0/20170311/5c44399458a254ea/cds-5c44399458a254ea-20170311-1241.raw/4/dr5rsq0qxf6m-dr5rsq0uwsju-cds-5c44399458a254ea-20170311-1241-75.jpg,2017-03-11 12:46:22-05:00,morning,0,0,1,efficientnet_train_images
0/20170206/5c44399458a254ea/cds-5c44399458a254ea-20170206-1133.raw/4/dr5rsq0qxtvd-dr5rsq0uwsju-cds-5c44399458a254ea-20170206-1133-101.jpg,2017-02-06 11:38:48-05:00,morning,0,0,2,efficientnet_train_images
0/20170206/5c44399458a254ea/cds-5c44399458a254ea-20170206-1133.raw/4/dr5rsq0qy2td-dr5rsq0569k0-cds-5c44399458a254ea-20170206-1133-100.jpg,2017-02-06 11:38:46-05:00,morning,0,0,1,efficientnet_train_images
0/20161022/ea91d096e3932939/cds-ea91d096e3932939-20161022-1502.raw/4/dr5rsq0j2gvk-dr5rsnpuh3mc-cds-ea91d096e3932939-20161022-1502-107.jpg,2016-10-22 15:09:20-04:00,afternoon,0,0,0,efficientnet_train_images
0/20161022/ea91d096e3932939/cds-ea91d096e3932939-20161022-1502.raw/4/dr5rsnpvmxw6-dr5rsnpu3gke-cds-ea91d096e3932939-20161022-1502-108.jpg,2016-10-22 15:09:22-04:00,afternoon,0,0,0,efficientnet_train_images
0/20160903/13a07ea2578fefb5/cds-13a07ea2578fefb5-20160903-1659.raw/4/dr5rsnpmpxd1-dr5rsnpmq7e7-cds-13a07ea2578fefb5-20160903-1659-43.jpg,2016-09-03 17:02:10-04:00,afternoon,0,0,0,efficientnet_train_images
0/20161101/19919ff6db95782d/cds-19919ff6db95782d-20161101-1350.raw/4/dr5rsnpt3k44-dr5rsnpt3kk7-cds-19919ff6db95782d-20161101-1350-12.jpg,2016-11-01 13:51:34-04:00,afternoon,0,2,1,efficientnet_train_images
0/20161120/1ccda49b184cb0ef/cds-1ccda49b184cb0ef-20161120-1235.raw/3/dr5rsnpt392r-dr5rsnpt3ep9-cds-1ccda49b184cb0ef-20161120-1235-85.jpg,2016-11-20 12:40:48-05:00,morning,1,0,1,efficientnet_train_images
0/20170219/1ccda49b184cb0ef/cds-1ccda49b184cb0ef-20170219-1316.raw/3/dr5rsnpm1xvd-dr5rsnpkuutb-cds-1ccda49b184cb0ef-20170219-1316-46.jpg,2017-02-19 13:22:08-05:00,afternoon,0,0,1,efficientnet_train_images
0/20161202/1ccda49b184cb0ef/cds-1ccda49b184cb0ef-20161202-1514.raw/3/dr5rsnpt3mqm-dr5rsnpt3kk7-cds-1ccda49b184cb0ef-20161202-1514-29.jpg,2016-12-02 15:18:34-05:00,afternoon,0,0,0,efficientnet_train_images
0/20160912/33f01c9134eaa6b5/cds-33f01c9134eaa6b5-20160912-0909.raw/4/dr5rsnpt7fut-dr5rsnpt5kct-cds-33f01c9134eaa6b5-20160912-0909-194.jpg,2016-09-12 09:17:36-04:00,morning,0,0,0,efficientnet_train_images
0/20160926/33f01c9134eaa6b5/cds-33f01c9134eaa6b5-20160926-0845.raw/4/dr5rsnptpng9-dr5rsnpsvfu6-cds-33f01c9134eaa6b5-20160926-0845-27.jpg,2016-09-26 08:47:00-04:00,morning,0,0,1,efficientnet_train_images
0/20160822/33f01c9134eaa6b5/cds-33f01c9134eaa6b5-20160822-0824.raw/4/dr5rsnptm4n3-dr5rsnpth31t-cds-33f01c9134eaa6b5-20160822-0824-100.jpg,2016-08-22 08:29:40-04:00,morning,0,0,0,efficientnet_train_images
0/20170206/5c44399458a254ea/cds-5c44399458a254ea-20170206-1133.raw/4/dr5rsnptqpg1-dr5rsnpth2rt-cds-5c44399458a254ea-20170206-1133-71.jpg,2017-02-06 11:36:34-05:00,morning,0,0,0,efficientnet_train_images
0/20170206/5c44399458a254ea/cds-5c44399458a254ea-20170206-1133.raw/4/dr5rsnptw34y-dr5rsnpth849-cds-5c44399458a254ea-20170206-1133-72.jpg,2017-02-06 11:36:36-05:00,morning,0,0,0,efficientnet_train_images
0/20160930/5c44399458a254ea/cds-5c44399458a254ea-20160930-1545.raw/4/dr5rsnpt5p5h-dr5rsnpt5n08-cds-5c44399458a254ea-20160930-1545-12.jpg,2016-09-30 15:46:50-04:00,afternoon,0,0,1,efficientnet_train_images
0/20160808/63fa6a79d3217a87/cds-63fa6a79d3217a87-20160808-1135.raw/3/dr5rsnpt604t-dr5rsnpt61pq-cds-63fa6a79d3217a87-20160808-1135-170.jpg,2016-08-08 11:45:10-04:00,morning,0,0,1,efficientnet_train_images
0/20160909/63fa6a79d3217a87/cds-63fa6a79d3217a87-20160909-1028.raw/3/dr5rsnpt3jjz-dr5rsnpt3jp5-cds-63fa6a79d3217a87-20160909-1028-25.jpg,2016-09-09 10:30:06-04:00,morning,0,0,0,efficientnet_train_images
0/20161231/6fef7e6f017c3f89/cds-6fef7e6f017c3f89-20161231-0916.raw/3/dr5rsnpt607b-dr5rsnpt6300-cds-6fef7e6f017c3f89-20161231-0916-24.jpg,2016-12-31 09:18:12-05:00,morning,0,0,0,efficientnet_train_images
0/20161121/6fef7e6f017c3f89/cds-6fef7e6f017c3f89-20161121-0924.raw/3/dr5rsnpt62g6-dr5rsnpt62es-cds-6fef7e6f017c3f89-20161121-0924-44.jpg,2016-11-21 09:28:50-05:00,morning,0,0,0,efficientnet_train_images
0/20161209/6fef7e6f017c3f89/cds-6fef7e6f017c3f89-20161209-1230.raw/3/dr5rsnpmksbp-dr5rsnpmnp8q-cds-6fef7e6f017c3f89-20161209-1230-61.jpg,2016-12-09 12:38:40-05:00,morning,1,0,2,efficientnet_train_images
0/20160713/79ddade2485edbde/cds-79ddade2485edbde-20160713-1620.raw/3/dr5rsnpt4rzn-dr5rsnpt680f-cds-79ddade2485edbde-20160713-1620-53.jpg,2016-07-13 16:25:10-04:00,afternoon,0,0,0,efficientnet_train_images
0/20161021/79ddade2485edbde/cds-79ddade2485edbde-20161021-0838.raw/3/dr5rsnpmku0x-dr5rsnpmnpbk-cds-79ddade2485edbde-20161021-0838-137.jpg,2016-10-21 08:47:08-04:00,morning,2,2,2,efficientnet_train_images
0/20160713/79ddade2485edbde/cds-79ddade2485edbde-20160713-1620.raw/3/dr5rsnpt62mm-dr5rsnpt62q8-cds-79ddade2485edbde-20160713-1620-54.jpg,2016-07-13 16:25:20-04:00,afternoon,0,0,0,efficientnet_train_images
0/20170312/7c641b4cb6bb1253/cds-7c641b4cb6bb1253-20170312-1248.raw/3/dr5rsnpm7eck-dr5rsnpmjsmg-cds-7c641b4cb6bb1253-20170312-1248-100.jpg,2017-03-12 12:53:40-04:00,morning,0,0,1,efficientnet_train_images
0/20160930/7c641b4cb6bb1253/cds-7c641b4cb6bb1253-20160930-1545.raw/3/dr5rsnpmmnx1-dr5rsnpmq69n-cds-7c641b4cb6bb1253-20160930-1545-16.jpg,2016-09-30 15:46:56-04:00,afternoon,0,1,0,efficientnet_train_images
0/20161114/8b82a42e5a149e22/cds-8b82a42e5a149e22-20161114-0826.raw/3/dr5rsnpm7crr-dr5rsnpmjeee-cds-8b82a42e5a149e22-20161114-0826-112.jpg,2016-11-14 08:35:00-05:00,morning,0,0,0,efficientnet_train_images
0/20160906/8b82a42e5a149e22/cds-8b82a42e5a149e22-20160906-1243.raw/3/dr5rsnpm7myg-dr5rsnpmjv9s-cds-8b82a42e5a149e22-20160906-1243-17.jpg,2016-09-06 12:45:06-04:00,morning,0,0,1,efficientnet_train_images
0/20160903/8eb89b94275011e0/cds-8eb89b94275011e0-20160903-1659.raw/3/dr5rsnpmqmhe-dr5rsnpmqkxp-cds-8eb89b94275011e0-20160903-1659-46.jpg,2016-09-03 17:02:10-04:00,afternoon,0,0,0,efficientnet_train_images
0/20161104/a32b6ec5cde27e3a/cds-a32b6ec5cde27e3a-20161104-0842.raw/3/dr5rsnpm7zkr-dr5rsnpmnpbk-cds-a32b6ec5cde27e3a-20161104-0842-182.jpg,2016-11-04 08:51:54-04:00,morning,0,0,0,efficientnet_train_images
0/20161205/b6d8aab376c7ce54/cds-b6d8aab376c7ce54-20161205-1140.raw/4/dr5rsnpt70x3-dr5rsnpt5n08-cds-b6d8aab376c7ce54-20161205-1140-104.jpg,2016-12-05 11:47:40-05:00,morning,0,0,0,efficientnet_train_images
0/20161205/b6d8aab376c7ce54/cds-b6d8aab376c7ce54-20161205-1140.raw/4/dr5rsnpt5r3e-dr5rsnpt5jmn-cds-b6d8aab376c7ce54-20161205-1140-102.jpg,2016-12-05 11:47:28-05:00,morning,0,0,0,efficientnet_train_images
0/20161107/b6d8aab376c7ce54/cds-b6d8aab376c7ce54-20161107-0940.raw/4/dr5rsnpt3xhc-dr5rsnpt3km5-cds-b6d8aab376c7ce54-20161107-0940-46.jpg,2016-11-07 09:43:42-05:00,morning,0,2,0,efficientnet_train_images
0/20160907/bd209a4b83760d6b/cds-bd209a4b83760d6b-20160907-1016.raw/4/dr5rsnpmmqy2-dr5rsnpmq77m-cds-bd209a4b83760d6b-20160907-1016-68.jpg,2016-09-07 10:20:14-04:00,morning,0,0,0,efficientnet_train_images
0/20161213/bd209a4b83760d6b/cds-bd209a4b83760d6b-20161213-0918.raw/4/dr5rsnpt1p1b-dr5rsnpt3ed7-cds-bd209a4b83760d6b-20161213-0918-133.jpg,2016-12-13 09:28:40-05:00,morning,0,1,0,efficientnet_train_images
0/20160912/bd209a4b83760d6b/cds-bd209a4b83760d6b-20160912-1104.raw/4/dr5rsnpts4x7-dr5rsnpt4ypn-cds-bd209a4b83760d6b-20160912-1104-4.jpg,2016-09-12 11:04:42-04:00,morning,0,0,0,efficientnet_train_images
0/20160922/c5732f31099d7452/cds-c5732f31099d7452-20160922-1332.raw/4/dr5rsnpt6quh-dr5rsnpt3fmd-cds-c5732f31099d7452-20160922-1332-109.jpg,2016-09-22 13:38:08-04:00,afternoon,0,1,1,efficientnet_train_images
0/20161011/c5732f31099d7452/cds-c5732f31099d7452-20161011-1022.raw/4/dr5rsnpmk84h-dr5rsnpmjsmg-cds-c5732f31099d7452-20161011-1022-107.jpg,2016-10-11 10:29:20-04:00,morning,0,0,0,efficientnet_train_images
0/20160527/c5732f31099d7452/cds-c5732f31099d7452-20160527-0941.raw/4/dr5rsnpmm9wd-dr5rsnpmq03b-cds-c5732f31099d7452-20160527-0941-97.jpg,2016-05-27 09:45:54-04:00,morning,0,0,0,efficientnet_train_images
0/20160828/e08eacf5f70d94e7/cds-e08eacf5f70d94e7-20160828-0807.raw/4/dr5rsnpt9guc-dr5rsnpt3hzv-cds-e08eacf5f70d94e7-20160828-0807-146.jpg,2016-08-28 08:15:34-04:00,morning,1,0,1,efficientnet_train_images
0/20160906/e08eacf5f70d94e7/cds-e08eacf5f70d94e7-20160906-1243.raw/4/dr5rsnpmr81q-dr5rsnpmq7uz-cds-e08eacf5f70d94e7-20160906-1243-23.jpg,2016-09-06 12:45:30-04:00,morning,1,1,0,efficientnet_train_images
0/20160906/e08eacf5f70d94e7/cds-e08eacf5f70d94e7-20160906-1243.raw/4/dr5rsnpmpp96-dr5rsnpmq4rf-cds-e08eacf5f70d94e7-20160906-1243-22.jpg,2016-09-06 12:45:20-04:00,morning,1,1,0,efficientnet_train_images
0/20161120/e5df139233770dec/cds-e5df139233770dec-20161120-1235.raw/4/dr5rsnpv2gqr-dr5rsnpswz4g-cds-e5df139233770dec-20161120-1235-90.jpg,2016-11-20 12:40:42-05:00,morning,0,0,1,efficientnet_train_images
0/20170120/e5df139233770dec/cds-e5df139233770dec-20170120-0808.raw/4/dr5rsnpmsb07-dr5rsnpmq6c5-cds-e5df139233770dec-20170120-0808-30.jpg,2017-01-20 08:11:20-05:00,morning,0,0,0,efficientnet_train_images
0/20161024/e5df139233770dec/cds-e5df139233770dec-20161024-1325.raw/4/dr5rsnptd7dt-dr5rsnpt3ebc-cds-e5df139233770dec-20161024-1325-25.jpg,2016-10-24 13:26:34-04:00,afternoon,0,0,0,efficientnet_train_images
0/20161022/ea91d096e3932939/cds-ea91d096e3932939-20161022-1502.raw/4/dr5rsnptvd7v-dr5rsnpt5kez-cds-ea91d096e3932939-20161022-1502-110.jpg,2016-10-22 15:09:26-04:00,afternoon,0,0,0,efficientnet_train_images
0/20161121/ea91d096e3932939/cds-ea91d096e3932939-20161121-0923.raw/4/dr5rsnptm14e-dr5rsnpth30v-cds-ea91d096e3932939-20161121-0923-47.jpg,2016-11-21 09:28:46-05:00,morning,0,0,0,efficientnet_train_images
0/20161022/ea91d096e3932939/cds-ea91d096e3932939-20161022-1502.raw/4/dr5rsnpv9y1n-dr5rsnpsy8h1-cds-ea91d096e3932939-20161022-1502-109.jpg,2016-10-22 15:09:24-04:00,afternoon,0,0,0,efficientnet_train_images
0/20161228/eb7787c410c46511/cds-eb7787c410c46511-20161228-0814.raw/3/dr5rsnpmpren-dr5rsnpmq74x-cds-eb7787c410c46511-20161228-0814-7.jpg,2016-12-28 08:15:36-05:00,morning,0,0,0,efficientnet_train_images
0/20160926/eb7787c410c46511/cds-eb7787c410c46511-20160926-0845.raw/3/dr5rsnpmmyd5-dr5rsnpmqkme-cds-eb7787c410c46511-20160926-0845-35.jpg,2016-09-26 08:48:04-04:00,morning,0,0,0,efficientnet_train_images
0/20161113/ec0dd1f4ab6e9e7e/cds-ec0dd1f4ab6e9e7e-20161113-1109.raw/3/dr5rsnpmnr5p-dr5rsnpmq030-cds-ec0dd1f4ab6e9e7e-20161113-1109-156.jpg,2016-11-13 11:18:58-05:00,morning,0,0,1,efficientnet_train_images
0/20160801/fdeb4f0c0eb1bc3c/cds-fdeb4f0c0eb1bc3c-20160801-1357.raw/3/dr5rsnpt2f7r-dr5rsnpt3jn7-cds-fdeb4f0c0eb1bc3c-20160801-1357-178.jpg,2016-08-01 14:07:44-04:00,afternoon,0,1,0,efficientnet_train_images
0/20160922/fdeb4f0c0eb1bc3c/cds-fdeb4f0c0eb1bc3c-20160922-1332.raw/3/dr5rsnpmq19m-dr5rsnpmq1hy-cds-fdeb4f0c0eb1bc3c-20160922-1332-113.jpg,2016-09-22 13:38:04-04:00,afternoon,0,0,2,efficientnet_train_images
0/20160922/fdeb4f0c0eb1bc3c/cds-fdeb4f0c0eb1bc3c-20160922-1233.raw/3/dr5rsnpmmvqe-dr5rsnpmq7u1-cds-fdeb4f0c0eb1bc3c-20160922-1233-125.jpg,2016-09-22 12:40:46-04:00,morning,0,0,0,efficientnet_train_images
0/20170226/6fef7e6f017c3f89/cds-6fef7e6f017c3f89-20170226-1247.raw/3/dr5rsnnmgk9r-dr5rsnnu21md-cds-6fef7e6f017c3f89-20170226-1247-131.jpg,2017-02-26 12:56:52-05:00,morning,0,1,0,efficientnet_train_images
0/20170311/6fef7e6f017c3f89/cds-6fef7e6f017c3f89-20170311-1157.raw/3/dr5rsnnq5rxd-dr5rsnnu9190-cds-6fef7e6f017c3f89-20170311-1157-123.jpg,2017-03-11 12:06:32-05:00,morning,0,0,0,efficientnet_train_images
0/20170226/6fef7e6f017c3f89/cds-6fef7e6f017c3f89-20170226-1247.raw/3/dr5rsnnm32tk-dr5rsnnetgdq-cds-6fef7e6f017c3f89-20170226-1247-132.jpg,2017-02-26 12:56:54-05:00,morning,0,1,0,efficientnet_train_images
0/20170129/bd209a4b83760d6b/cds-bd209a4b83760d6b-20170129-1107.raw/4/dr5rsnnmq5mm-dr5rsnnsptrk-cds-bd209a4b83760d6b-20170129-1107-51.jpg,2017-01-29 11:10:44-05:00,morning,0,2,2,efficientnet_train_images
0/20170226/ea91d096e3932939/cds-ea91d096e3932939-20170226-1247.raw/4/dr5rsnnrjemj-dr5rsnnv7g1c-cds-ea91d096e3932939-20170226-1247-148.jpg,2017-02-26 12:56:42-05:00,morning,4,1,0,efficientnet_train_images
0/20160801/13a07ea2578fefb5/cds-13a07ea2578fefb5-20160801-0830.raw/4/dr5rsnnmr04g-dr5rsnnktnq7-cds-13a07ea2578fefb5-20160801-0830-181.jpg,2016-08-01 08:39:42-04:00,morning,1,0,0,efficientnet_train_images
0/20161213/19919ff6db95782d/cds-19919ff6db95782d-20161213-1238.raw/4/dr5rsnnjwwqm-dr5rsnnm3dww-cds-19919ff6db95782d-20161213-1238-139.jpg,2016-12-13 12:47:54-05:00,morning,2,0,0,efficientnet_train_images
0/20170118/19919ff6db95782d/cds-19919ff6db95782d-20170118-1209.raw/4/dr5rsnnmxkx2-dr5rsnnku90v-cds-19919ff6db95782d-20170118-1209-1.jpg,2017-01-18 12:09:44-05:00,morning,0,0,1,efficientnet_train_images
0/20161114/19919ff6db95782d/cds-19919ff6db95782d-20161114-1047.raw/4/dr5rsnnjxtk0-dr5rsnnm3uke-cds-19919ff6db95782d-20161114-1047-87.jpg,2016-11-14 10:54:26-05:00,morning,1,0,0,efficientnet_train_images
0/20161210/1ccda49b184cb0ef/cds-1ccda49b184cb0ef-20161210-1053.raw/3/dr5rsnnjxkg9-dr5rsnnm3g2v-cds-1ccda49b184cb0ef-20161210-1053-4.jpg,2016-12-10 10:53:58-05:00,morning,0,1,0,efficientnet_train_images
0/20161123/1ccda49b184cb0ef/cds-1ccda49b184cb0ef-20161123-1321.raw/3/dr5rsnnm70fs-dr5rsnnm43gm-cds-1ccda49b184cb0ef-20161123-1321-24.jpg,2016-11-23 13:22:44-05:00,afternoon,1,1,1,efficientnet_train_images
0/20170225/1ccda49b184cb0ef/cds-1ccda49b184cb0ef-20170225-0832.raw/3/dr5rsnnx3c24-dr5rsnnm44g5-cds-1ccda49b184cb0ef-20170225-0832-69.jpg,2017-02-25 08:41:52-05:00,morning,0,1,0,efficientnet_train_images
0/20160922/5c44399458a254ea/cds-5c44399458a254ea-20160922-1143.raw/4/dr5rsnnm8c7x-dr5rsnnm3vng-cds-5c44399458a254ea-20160922-1143-70.jpg,2016-09-22 11:46:50-04:00,morning,3,1,0,efficientnet_train_images
0/20160706/63fa6a79d3217a87/cds-63fa6a79d3217a87-20160706-1628.raw/3/dr5rsnnmk2dn-dr5rsnnkgnrh-cds-63fa6a79d3217a87-20160706-1628-36.jpg,2016-07-06 16:31:26-04:00,afternoon,0,0,1,efficientnet_train_images
0/20160714/63fa6a79d3217a87/cds-63fa6a79d3217a87-20160714-1427.raw/3/dr5rsnnmk391-dr5rsnnkgnub-cds-63fa6a79d3217a87-20160714-1427-21.jpg,2016-07-14 14:28:46-04:00,afternoon,0,0,2,efficientnet_train_images
0/20170311/6fef7e6f017c3f89/cds-6fef7e6f017c3f89-20170311-1157.raw/3/dr5rsnnmxp28-dr5rsnnku50q-cds-6fef7e6f017c3f89-20170311-1157-125.jpg,2017-03-11 12:06:42-05:00,morning,0,0,1,efficientnet_train_images
0/20170111/6fef7e6f017c3f89/cds-6fef7e6f017c3f89-20170111-1357.raw/3/dr5rsnnmudhf-dr5rsnnm44st-cds-6fef7e6f017c3f89-20170111-1357-55.jpg,2017-01-11 14:01:50-05:00,afternoon,0,1,1,efficientnet_train_images
0/20170111/6fef7e6f017c3f89/cds-6fef7e6f017c3f89-20170111-1357.raw/3/dr5rsnnqj0hp-dr5rsnnm450r-cds-6fef7e6f017c3f89-20170111-1357-54.jpg,2017-01-11 14:01:48-05:00,afternoon,0,0,1,efficientnet_train_images
0/20160817/79ddade2485edbde/cds-79ddade2485edbde-20160817-1531.raw/3/dr5rsnnjy6xm-dr5rsnnm3vng-cds-79ddade2485edbde-20160817-1531-162.jpg,2016-08-17 15:40:50-04:00,afternoon,0,0,0,efficientnet_train_images
