image,grey,hour,taken_on_short,period,machine_label,source,final_label
0/20160929/bd209a4b83760d6b/cds-bd209a4b83760d6b-20160929-2252.raw/4/dr5rsqb1q2z5-dr5rsqb1rp4e-cds-bd209a4b83760d6b-20160929-2252-1.jpg,1.67,22,2016-09-29 22:52:00,evening,night,machine,night
0/20161009/e5df139233770dec/cds-e5df139233770dec-20161009-0841.raw/4/dr5rsp16kptz-dr5rsp16k8yr-cds-e5df139233770dec-20161009-0841-1.jpg,1.67,8,2016-10-09 08:41:00,morning,night,machine,night
0/20161105/1ccda49b184cb0ef/cds-1ccda49b184cb0ef-20161105-1719.raw/3/dr5rsp3v7ykx-dr5rsp3vmp9u-cds-1ccda49b184cb0ef-20161105-1719-1.jpg,2.27,17,2016-11-05 17:19:00,afternoon,night,machine,night
0/20160919/7c641b4cb6bb1253/cds-7c641b4cb6bb1253-20160919-0929.raw/3/dr5rsp4zy497-dr5rsp4zvs1g-cds-7c641b4cb6bb1253-20160919-0929-1.jpg,2.88,9,2016-09-19 09:29:00,morning,night,machine,night
0/20160728/13a07ea2578fefb5/cds-13a07ea2578fefb5-20160728-1848.raw/4/dr5rspnzcbm5-dr5rspnz29gg-cds-13a07ea2578fefb5-20160728-1848-1.jpg,3.55,18,2016-07-28 18:48:00,afternoon,night,manual,day
0/20160929/79ddade2485edbde/cds-79ddade2485edbde-20160929-2252.raw/3/dr5rsqb1tw1f-dr5rsqb1tkwq-cds-79ddade2485edbde-20160929-2252-1.jpg,4.13,22,2016-09-29 22:52:00,evening,night,machine,night
0/20160827/19919ff6db95782d/cds-19919ff6db95782d-20160827-1637.raw/4/dr5rspkh06pc-dr5rspkh0d6d-cds-19919ff6db95782d-20160827-1637-1.jpg,4.99,16,2016-08-27 16:37:00,afternoon,night,machine,night
0/20160628/79ddade2485edbde/cds-79ddade2485edbde-20160628-0949.raw/3/dr5rsp116shd-dr5rsp116sek-cds-79ddade2485edbde-20160628-0949-1.jpg,6.37,9,2016-06-28 09:49:00,morning,night,machine,night
0/20160919/5c44399458a254ea/cds-5c44399458a254ea-20160919-0939.raw/4/dr5rspmfpktr-dr5rspmczpcp-cds-5c44399458a254ea-20160919-0939-1.jpg,6.66,9,2016-09-19 09:39:00,morning,night,machine,night
0/20160908/63fa6a79d3217a87/cds-63fa6a79d3217a87-20160908-0956.raw/3/dr5rsn7kc7vv-dr5rsn7jq0fy-cds-63fa6a79d3217a87-20160908-0956-1.jpg,6.98,9,2016-09-08 09:56:00,morning,night,machine,night
0/20161105/e5df139233770dec/cds-e5df139233770dec-20161105-1724.raw/4/dr5rsp3v54q0-dr5rsp3vjmj8-cds-e5df139233770dec-20161105-1724-1.jpg,7.0,17,2016-11-05 17:24:00,afternoon,night,machine,night
0/20160919/7c641b4cb6bb1253/cds-7c641b4cb6bb1253-20160919-0904.raw/3/dr5rsp3738rt-dr5rsp371gjw-cds-7c641b4cb6bb1253-20160919-0904-1.jpg,7.08,9,2016-09-19 09:04:00,morning,night,machine,night
0/20161027/e5df139233770dec/cds-e5df139233770dec-20161027-1119.raw/4/dr5rsn7rv2q1-dr5rsn7rwjms-cds-e5df139233770dec-20161027-1119-1.jpg,7.32,11,2016-10-27 11:19:00,morning,night,manual,day
0/20160903/13a07ea2578fefb5/cds-13a07ea2578fefb5-20160903-0842.raw/4/dr5rsnsqs3nb-dr5rsnsqs9dx-cds-13a07ea2578fefb5-20160903-0842-1.jpg,7.97,8,2016-09-03 08:42:00,morning,night,machine,night
0/20161105/b6d8aab376c7ce54/cds-b6d8aab376c7ce54-20161105-1704.raw/4/dr5rsn3tudbw-dr5rsn3ttrne-cds-b6d8aab376c7ce54-20161105-1704-1.jpg,8.12,17,2016-11-05 17:04:00,afternoon,night,machine,night
0/20170118/5c44399458a254ea/cds-5c44399458a254ea-20170118-0852.raw/4/dr5rsnxjyh6g-dr5rsnxjkt2u-cds-5c44399458a254ea-20170118-0852-1.jpg,8.66,8,2017-01-18 08:52:00,morning,night,machine,night
0/20170118/5c44399458a254ea/cds-5c44399458a254ea-20170118-1406.raw/4/dr5rsp7vsrpf-dr5rsp7wcfch-cds-5c44399458a254ea-20170118-1406-1.jpg,9.04,14,2017-01-18 14:06:00,afternoon,night,manual,day
0/20160919/7c641b4cb6bb1253/cds-7c641b4cb6bb1253-20160919-0939.raw/3/dr5rspq19tp4-dr5rspq19yky-cds-7c641b4cb6bb1253-20160919-0939-1.jpg,9.27,9,2016-09-19 09:39:00,morning,night,machine,night
0/20161206/e7f28d53fd3ba67c/cds-e7f28d53fd3ba67c-20161206-0842.raw/4/dr5rspkhh12j-dr5rspk5g33h-cds-e7f28d53fd3ba67c-20161206-0842-1.jpg,10.05,14,2016-12-06 14:42:00,afternoon,night,manual,day
0/20161111/e5df139233770dec/cds-e5df139233770dec-20161111-0843.raw/4/dr5rsndkwhc1-dr5rsndktrd6-cds-e5df139233770dec-20161111-0843-1.jpg,10.53,8,2016-11-11 08:43:00,morning,night,machine,night
0/20160827/19919ff6db95782d/cds-19919ff6db95782d-20160827-1642.raw/4/dr5rsp7sfstd-dr5rsp7tkh5g-cds-19919ff6db95782d-20160827-1642-1.jpg,10.8,16,2016-08-27 16:43:00,afternoon,night,manual,day
0/20161206/e7f28d53fd3ba67c/cds-e7f28d53fd3ba67c-20161206-0832.raw/4/dr5rspk5gufu-dr5rspk5g2xu-cds-e7f28d53fd3ba67c-20161206-0832-1.jpg,11.08,14,2016-12-06 14:32:00,afternoon,night,manual,day
0/20161105/1ccda49b184cb0ef/cds-1ccda49b184cb0ef-20161105-1559.raw/3/dr5rsp3ymhd0-dr5rsp3yk4f7-cds-1ccda49b184cb0ef-20161105-1559-1.jpg,11.37,15,2016-11-05 15:59:00,afternoon,night,manual,day
