epoch,train_loss,val_loss,mae,rmse,r2
1,0.387208,0.297354,0.635428,0.810957,0.220318
2,0.291768,0.280189,0.62045,0.782123,0.274777
3,0.236038,0.282996,0.607833,0.793448,0.253623
4,0.178353,0.281505,0.606138,0.790278,0.259575
5,0.143482,0.257926,0.573171,0.752742,0.328241
6,0.12592,0.271737,0.586719,0.777524,0.283282
7,0.102951,0.258635,0.566414,0.751083,0.331199
8,0.100126,0.258166,0.563042,0.752628,0.328444
9,0.085623,0.268595,0.585286,0.76869,0.299474
10,0.08263,0.252417,0.562489,0.74605,0.340133
11,0.083401,0.256377,0.572595,0.750755,0.331783
12,0.073039,0.250204,0.553365,0.743164,0.345228
13,0.069948,0.252242,0.561844,0.746467,0.339395
14,0.06991,0.24919,0.550894,0.744461,0.34294
15,0.061022,0.252414,0.554534,0.750542,0.332161
16,0.066818,0.250534,0.553592,0.746204,0.339859
17,0.056624,0.242826,0.545877,0.733482,0.362176
18,0.058052,0.240941,0.542328,0.729716,0.36871
19,0.056998,0.255575,0.561096,0.752731,0.328261
20,0.057991,0.244312,0.544197,0.734037,0.361211
21,0.057926,0.238808,0.538749,0.727038,0.373335
22,0.061846,0.24297,0.545157,0.732501,0.363882
23,0.053449,0.244275,0.538737,0.736757,0.356469
24,0.048347,0.249079,0.55019,0.741449,0.348246
25,0.057321,0.243099,0.536753,0.735098,0.359364
26,0.048496,0.244303,0.543308,0.73391,0.361433
27,0.052801,0.240112,0.533309,0.728148,0.37142
28,0.049751,0.240056,0.537653,0.726824,0.373704
29,0.045989,0.252194,0.553387,0.747385,0.337769
30,0.052897,0.241225,0.534167,0.73401,0.361258
