epoch,train_loss,val_loss,mae,rmse,r2
1,0.382106,0.397827,0.756051,1.013703,0.209412
2,0.282318,0.361534,0.714362,0.940116,0.320028
3,0.231172,0.344847,0.678222,0.92004,0.348758
4,0.215407,0.328033,0.671019,0.871073,0.416235
5,0.167838,0.31626,0.666479,0.853938,0.438976
6,0.160683,0.309032,0.650679,0.850507,0.443475
7,0.136995,0.298607,0.650239,0.825263,0.476022
8,0.12525,0.294265,0.633907,0.830579,0.46925
9,0.127331,0.299116,0.646436,0.828825,0.471489
10,0.110751,0.290851,0.628418,0.826491,0.474461
11,0.11702,0.289112,0.631204,0.817277,0.486114
12,0.091598,0.288153,0.623843,0.821109,0.481284
13,0.084413,0.285349,0.6244,0.818879,0.484098
14,0.083464,0.280154,0.618154,0.806302,0.499822
15,0.079694,0.291223,0.634914,0.819835,0.482892
16,0.075228,0.284033,0.62627,0.809587,0.495738
17,0.082616,0.278211,0.622811,0.796232,0.512238
18,0.083034,0.275866,0.613324,0.802542,0.504477
19,0.070419,0.280911,0.620977,0.809581,0.495746
20,0.077719,0.274596,0.61775,0.793666,0.515377
21,0.070654,0.27087,0.608615,0.78729,0.523132
22,0.067556,0.271722,0.608928,0.791862,0.517577
23,0.082303,0.273706,0.610525,0.79627,0.512192
24,0.060046,0.272041,0.610714,0.792678,0.516582
25,0.068098,0.278209,0.612694,0.807971,0.497749
26,0.065848,0.27551,0.613309,0.795374,0.513289
27,0.06464,0.275206,0.609946,0.803599,0.50317
28,0.067003,0.272266,0.606269,0.793661,0.515383
29,0.074107,0.277036,0.613105,0.805998,0.5002
30,0.065359,0.274039,0.612379,0.795393,0.513265
