epoch,train_loss,val_loss,mae,rmse,r2
1,0.369959,0.247475,0.578878,0.725653,0.37572
2,0.264531,0.252894,0.577243,0.740288,0.350285
3,0.236389,0.257579,0.589758,0.745518,0.341072
4,0.205705,0.243495,0.572467,0.728694,0.370476
5,0.17966,0.23775,0.553666,0.722215,0.381622
6,0.14934,0.223648,0.53971,0.696934,0.424156
7,0.147277,0.230358,0.549413,0.710042,0.402292
8,0.130687,0.21879,0.532618,0.692327,0.431745
9,0.121352,0.218448,0.525261,0.696437,0.424977
10,0.110094,0.233202,0.544471,0.723813,0.378882
11,0.100634,0.227049,0.537845,0.707335,0.406841
12,0.097079,0.216921,0.518465,0.695047,0.42727
13,0.090706,0.219091,0.526259,0.694928,0.427467
14,0.079047,0.215557,0.520163,0.691081,0.433788
15,0.086401,0.216577,0.521017,0.69166,0.432839
16,0.081107,0.21964,0.525404,0.698123,0.42219
17,0.071133,0.218057,0.517632,0.697092,0.423895
18,0.07087,0.216237,0.518893,0.695988,0.425718
19,0.067472,0.218445,0.517927,0.700402,0.418411
20,0.072307,0.216838,0.52051,0.69555,0.426441
21,0.061705,0.211356,0.513169,0.686171,0.441805
22,0.060306,0.210408,0.509558,0.682117,0.448381
23,0.059956,0.212866,0.514083,0.686966,0.44051
24,0.056381,0.214633,0.517877,0.690692,0.434426
25,0.060082,0.215597,0.522676,0.694337,0.42844
26,0.056657,0.212501,0.515933,0.685934,0.442191
27,0.066736,0.212873,0.516483,0.687268,0.440019
28,0.063422,0.214093,0.518222,0.690131,0.435344
29,0.060207,0.214094,0.517787,0.689304,0.436697
30,0.056048,0.217657,0.522159,0.694805,0.427669
