image,taken_on,period,trees,storefronts,lampposts
0/20160628/79ddade2485edbde/cds-79ddade2485edbde-20160628-0959.raw/3/dr5rsnqv7syb-dr5rsnqv42h2-cds-79ddade2485edbde-20160628-0959-19.jpg,2016-06-28 10:00:46-04:00,morning,1,1,0
0/20160810/13a07ea2578fefb5/cds-13a07ea2578fefb5-20160810-1633.raw/4/dr5rsnr9v45f-dr5rsnr9szt5-cds-13a07ea2578fefb5-20160810-1633-108.jpg,2016-08-10 16:37:58-04:00,afternoon,1,1,0
0/20160831/b6d8aab376c7ce54/cds-b6d8aab376c7ce54-20160831-1216.raw/4/dr5rsn6rj0hy-dr5rsn6quyr0-cds-b6d8aab376c7ce54-20160831-1216-17.jpg,2016-08-31 12:18:18-04:00,morning,1,1,0
0/20160630/1ccda49b184cb0ef/cds-1ccda49b184cb0ef-20160630-1115.raw/3/dr5rsp46stv3-dr5rsp46tcpv-cds-1ccda49b184cb0ef-20160630-1115-105.jpg,2016-06-30 11:20:24-04:00,morning,0,1,0
0/20160829/19919ff6db95782d/cds-19919ff6db95782d-20160829-1217.raw/4/dr5rsnm8hseh-dr5rsnjxz4r3-cds-19919ff6db95782d-20160829-1217-22.jpg,2016-08-29 12:19:36-04:00,morning,0,1,0
0/20160701/1ccda49b184cb0ef/cds-1ccda49b184cb0ef-20160701-1611.raw/3/dr5rsn9bsny5-dr5rsn9buvqb-cds-1ccda49b184cb0ef-20160701-1611-47.jpg,2016-07-01 16:15:30-04:00,afternoon,0,1,0
0/20160903/ea91d096e3932939/cds-ea91d096e3932939-20160903-1612.raw/4/dr5rsnfckgv9-dr5rsnfckgwd-cds-ea91d096e3932939-20160903-1612-94.jpg,2016-09-03 16:18:18-04:00,afternoon,1,1,0
0/20160702/63fa6a79d3217a87/cds-63fa6a79d3217a87-20160702-1144.raw/3/dr5rspjgewru-dr5rspjsm7gs-cds-63fa6a79d3217a87-20160702-1144-6.jpg,2016-07-02 11:44:42-04:00,morning,1,0,0
0/20160801/90e9ed36f13dd646/cds-90e9ed36f13dd646-20160801-0834.raw/3/dr5rsnxg811c-dr5rsnxg3k4s-cds-90e9ed36f13dd646-20160801-0834-73.jpg,2016-08-01 08:38:42-04:00,morning,0,0,0
0/20160719/b6d8aab376c7ce54/cds-b6d8aab376c7ce54-20160719-1452.raw/4/dr5rspp19kee-dr5rspp1cfz9-cds-b6d8aab376c7ce54-20160719-1452-132.jpg,2016-07-19 15:01:22-04:00,afternoon,0,0,0
0/20160713/79ddade2485edbde/cds-79ddade2485edbde-20160713-1620.raw/3/dr5rsnpt820x-dr5rsnpt826y-cds-79ddade2485edbde-20160713-1620-55.jpg,2016-07-13 16:25:30-04:00,afternoon,0,0,0
0/20160702/63fa6a79d3217a87/cds-63fa6a79d3217a87-20160702-1144.raw/3/dr5rspjuqh6b-dr5rspnj2fkx-cds-63fa6a79d3217a87-20160702-1144-29.jpg,2016-07-02 11:47:58-04:00,morning,1,0,0
0/20160630/1ccda49b184cb0ef/cds-1ccda49b184cb0ef-20160630-1217.raw/3/dr5rsn8zn6hq-dr5rsn8znhyt-cds-1ccda49b184cb0ef-20160630-1217-4.jpg,2016-06-30 12:17:28-04:00,morning,1,1,0
0/20160804/8eb89b94275011e0/cds-8eb89b94275011e0-20160804-1209.raw/3/dr5rsnpnuc3p-dr5rsnpnvjn2-cds-8eb89b94275011e0-20160804-1209-3.jpg,2016-08-04 12:09:48-04:00,morning,0,0,0
0/20160728/13a07ea2578fefb5/cds-13a07ea2578fefb5-20160728-1615.raw/4/dr5rsn9x0f5r-dr5rsn9rpusx-cds-13a07ea2578fefb5-20160728-1615-56.jpg,2016-07-28 16:18:50-04:00,afternoon,1,1,0
0/20160714/1ccda49b184cb0ef/cds-1ccda49b184cb0ef-20160714-1127.raw/3/dr5rsncvnx28-dr5rsncvnwgc-cds-1ccda49b184cb0ef-20160714-1127-11.jpg,2016-07-14 11:28:14-04:00,morning,1,0,0
0/20160826/79ddade2485edbde/cds-79ddade2485edbde-20160826-1546.raw/3/dr5rsnnmuxd2-dr5rsnnqh14x-cds-79ddade2485edbde-20160826-1546-179.jpg,2016-08-26 15:54:36-04:00,afternoon,0,1,0
0/20160903/8b82a42e5a149e22/cds-8b82a42e5a149e22-20160903-0930.raw/3/dr5rsns0xmxk-dr5rsns22zrp-cds-8b82a42e5a149e22-20160903-0930-87.jpg,2016-09-03 09:34:32-04:00,morning,0,1,0
0/20160717/79ddade2485edbde/cds-79ddade2485edbde-20160717-1131.raw/3/dr5rsp4zyhx4-dr5rsp4zvwpv-cds-79ddade2485edbde-20160717-1131-40.jpg,2016-07-17 11:32:36-04:00,morning,1,1,0
0/20160903/13a07ea2578fefb5/cds-13a07ea2578fefb5-20160903-0809.raw/4/dr5rsngm0et6-dr5rsngm12sh-cds-13a07ea2578fefb5-20160903-0809-9.jpg,2016-09-03 08:10:22-04:00,morning,1,2,0
0/20160909/63fa6a79d3217a87/cds-63fa6a79d3217a87-20160909-1057.raw/3/dr5rsq8krbh6-dr5rsq8t3494-cds-63fa6a79d3217a87-20160909-1057-33.jpg,2016-09-09 11:02:14-04:00,morning,0,0,0
0/20160910/33f01c9134eaa6b5/cds-33f01c9134eaa6b5-20160910-0908.raw/4/dr5rsn9jkz14-dr5rsn9jkwwt-cds-33f01c9134eaa6b5-20160910-0908-35.jpg,2016-09-10 09:11:22-04:00,morning,0,1,0
0/20160912/79ddade2485edbde/cds-79ddade2485edbde-20160912-1104.raw/3/dr5rsndthwxs-dr5rsndt8we2-cds-79ddade2485edbde-20160912-1104-114.jpg,2016-09-12 11:12:32-04:00,morning,1,0,0
